# take	seq	participant	drill	duration_sec	pipe_cam	human_prompt	object_prompt
# generated by tools/make_batch_manifest.py guitar; 40 takes, 10 subjects.
# pipe_cam is "-" on purpose (= unset): resolved from best_exo at run time.
# gender unrecorded, so Sub01 (male body) assumed for: 184 220 399 400 401 405 493 506 596
# run one subject first:  ONLY=400 bash scripts/recon_batch.sh clips splits/guitar-batch.tsv
upenn_0707_Guitar_1_2	Date05_Sub01_guitar_scales400x2	400	scales	287.6	-	person	guitar
upenn_0707_Guitar_1_5	Date05_Sub01_guitar_suzuki400x5	400	suzuki	395.3	-	person	guitar
upenn_0707_Guitar_1_6	Date05_Sub01_guitar_free400x6	400	free	707.7	-	person	guitar
upenn_0707_Guitar_1_8	Date05_Sub01_guitar_play400x8	400	play	346.6	-	person	guitar
upenn_0707_Guitar_2_2	Date05_Sub01_guitar_scales401x2	401	scales	256.1	-	person	guitar
upenn_0707_Guitar_2_5	Date05_Sub01_guitar_suzuki401x5	401	suzuki	276.5	-	person	guitar
upenn_0707_Guitar_2_7	Date05_Sub01_guitar_free401x7	401	free	645.4	-	person	guitar
upenn_0707_Guitar_2_10	Date05_Sub01_guitar_play401x10	401	play	279.7	-	person	guitar
upenn_0709_Guitar_1_2	Date05_Sub01_guitar_scales405x2	405	scales	240.5	-	person	guitar
upenn_0709_Guitar_1_5	Date05_Sub01_guitar_suzuki405x5	405	suzuki	349.4	-	person	guitar
upenn_0709_Guitar_1_6	Date05_Sub01_guitar_free405x6	405	free	738.0	-	person	guitar
upenn_0709_Guitar_1_7	Date05_Sub01_guitar_play405x7	405	play	384.0	-	person	guitar
upenn_0728_Guitar_1_2	Date05_Sub01_guitar_scales220x2	220	scales	188.5	-	person	guitar
upenn_0728_Guitar_1_3	Date05_Sub01_guitar_free220x3	220	free	316.2	-	person	guitar
upenn_0728_Guitar_1_4	Date05_Sub01_guitar_free220x4	220	free	840.1	-	person	guitar
upenn_0728_Guitar_1_6	Date05_Sub01_guitar_play220x6	220	play	422.1	-	person	guitar
upenn_0722_Guitar_1_2	Date05_Sub01_guitar_scales493x2	493	scales	296.7	-	person	guitar
upenn_0722_Guitar_1_4	Date05_Sub01_guitar_free493x4	493	free	597.9	-	person	guitar
upenn_0722_Guitar_1_5	Date05_Sub01_guitar_play493x5	493	play	276.8	-	person	guitar
upenn_0724_Guitar_1_2	Date05_Sub01_guitar_scales506x2	506	scales	213.6	-	person	guitar
upenn_0724_Guitar_1_3	Date05_Sub01_guitar_suzuki506x3	506	suzuki	262.2	-	person	guitar
upenn_0724_Guitar_1_4	Date05_Sub01_guitar_free506x4	506	free	686.8	-	person	guitar
upenn_0724_Guitar_1_5	Date05_Sub01_guitar_play506x5	506	play	298.3	-	person	guitar
indiana_music_11_2	Date05_Sub01_guitar_scales596x2	596	scales	257.5	-	person	guitar
indiana_music_11_3	Date05_Sub01_guitar_suzuki596x3	596	suzuki	520.5	-	person	guitar
indiana_music_11_4	Date05_Sub01_guitar_free596x4	596	free	410.6	-	person	guitar
indiana_music_11_5	Date05_Sub01_guitar_play596x5	596	play	90.1	-	person	guitar
iiith_guitar_002_2	Date05_Sub01_guitar_play870x2	870	play	321.1	-	person	guitar
iiith_guitar_002_4	Date05_Sub01_guitar_scales870x4	870	scales	53.8	-	person	guitar
iiith_guitar_002_6	Date05_Sub01_guitar_scales870x6	870	scales	50.7	-	person	guitar
iiith_guitar_002_8	Date05_Sub01_guitar_scales870x8	870	scales	42.2	-	person	guitar
iiith_guitar_002_10	Date05_Sub01_guitar_suzuki870x10	870	suzuki	120.3	-	person	guitar
upenn_0706_Guitar_2_2	Date05_Sub01_guitar_scales399x2	399	scales	379.0	-	person	guitar
upenn_0706_Guitar_2_3	Date05_Sub01_guitar_suzuki399x3	399	suzuki	348.1	-	person	guitar
upenn_0706_Guitar_2_4	Date05_Sub01_guitar_free399x4	399	free	595.8	-	person	guitar
upenn_0706_Guitar_2_5	Date05_Sub01_guitar_play399x5	399	play	301.2	-	person	guitar
upenn_0331_Guitar_2_2	Date05_Sub01_guitar_scales184x2	184	scales	175.7	-	person	guitar
upenn_0331_Guitar_2_3	Date05_Sub01_guitar_suzuki184x3	184	suzuki	229.5	-	person	guitar
upenn_0331_Guitar_2_4	Date05_Sub01_guitar_free184x4	184	free	625.7	-	person	guitar
upenn_0331_Guitar_2_5	Date05_Sub01_guitar_play184x5	184	play	196.8	-	person	guitar
